סבב בחירות,שם ישוב,סמל ישוב,סמל קלפי,בזב,מצביעים,כשרים,פסולים,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס
2006,אשדוד,70,930,658,375,366,9,46,7,0,1,1,0,1,15,0,28,1,1,72,1,45,46,7,0,1,0,0,0,0,1,1,1,0,2,0,9,79
2006,אשדוד,70,940,572,278,269,9,15,11,0,0,0,0,7,4,1,8,0,0,43,0,45,24,1,1,0,1,0,0,0,0,0,0,0,1,0,0,107
2006,אשדוד,70,950,573,272,266,6,24,7,0,0,0,0,15,2,0,4,0,0,40,0,78,19,0,0,0,0,0,0,1,0,0,0,2,2,0,3,69
2006,אשדוד,70,960,642,319,312,7,10,7,0,0,0,0,9,5,2,8,0,1,85,0,120,37,6,0,0,1,0,0,0,0,0,0,0,2,2,0,17
2006,אשדוד,70,970,676,333,319,14,23,12,0,0,0,1,5,5,2,10,0,1,61,0,77,34,4,0,0,1,1,0,0,0,0,0,0,2,1,2,77
2006,אשדוד,70,980,720,485,471,14,14,115,1,0,0,0,176,6,0,6,0,4,12,0,18,19,1,1,2,1,1,0,2,0,0,0,2,3,0,1,86
2006,אשדוד,70,990,688,336,330,6,25,17,0,0,0,0,1,20,0,16,3,0,57,0,77,26,1,4,0,0,0,1,0,0,0,1,1,4,0,0,76
2006,אשדוד,70,1000,671,373,360,13,75,9,0,0,0,0,1,30,0,18,2,0,105,0,29,21,13,1,1,4,1,0,0,0,0,0,0,6,0,7,37
2006,אשדוד,70,1010,694,391,378,13,18,17,0,0,0,0,14,10,2,8,2,0,89,0,115,30,4,1,1,1,1,1,2,0,0,0,3,7,0,4,48
2006,אשדוד,70,1020,642,345,337,8,56,3,0,0,0,0,0,15,0,9,0,3,84,0,53,37,11,0,0,1,0,0,1,0,0,0,1,3,0,3,57
2006,אשדוד,70,1030,623,380,376,4,62,3,0,0,0,0,0,27,1,28,0,0,108,0,41,48,5,0,0,0,1,0,0,0,0,0,1,5,0,3,43
2006,אשדוד,70,1040,673,408,403,5,59,4,0,0,1,0,0,34,3,26,3,2,105,0,37,58,13,0,0,2,0,0,1,0,0,0,0,3,0,9,43
2006,אשדוד,70,1050,718,359,352,7,70,4,0,0,0,0,0,25,0,14,0,2,95,0,38,32,2,0,0,0,0,0,1,0,1,0,0,1,0,5,62
2006,אשדוד,70,1060,560,345,342,3,72,0,0,0,0,1,1,27,3,16,0,0,105,0,22,31,4,0,0,0,1,0,0,0,0,1,0,4,0,5,49
